keyword,review,sentiment
기록,"리뷰 잘 안쓰는데 이 어플은 진짜 좋아서 씁니다.  식단을 편하게 작성할 수 있어서 꾸준히 작성할 수 있는 게 정말 큰 장점인 것 같아요 예전엔 작심삼일이었는데 루션 쓰고 한달만에 3kg 빠졌어요ㅎㅎ 걸음 포인트도 쌓이고, 내가 뭘 자주 먹는지 돌아보게 돼요. 단순히 다이어트 앱이 아니라, 습관을 만들어주는 앱 같아요. 매일 기록하고 걷는 게 즐거워졌어요!!",neutral
기록,"회사 동료가 다이어트 앱 소개해줬는데 속는셈 치고 깔아서 꾸준히 썼더니 5키로 감량했요!(우리끼리만 알고싶은 앱)  매일매일 기록하는 재미도 있고, 이 은근 정확해서 칼로리 계산도 쉽게 할수있어요~ 기존에 있던 다이어트 앱에서 +더 간편+ 쉬운 메뉴얼? 여튼 좋아요! 개발자가 누군진 몰라도 참 야무지네요ㅋㅋ",positive
기록,루션이 깔끔해서 제일 쓰기 편해요 미션 덕분에 기록도 꾸준히 하게 되네요 굿이에요!,positive
기록,"처음엔 그냥 식단 기록 앱인 줄 알았는데 써보니 완전 달라요. 식단을 매일 편하게 기록할 수 있다 보니 쓰다보니 3kg 감량했네요 루션 덕분에 하루를 건강하게 마무리하는 습관이 생겼어요. 보상도 있어서 꾸준히 하게 되고, 결과도 눈에 보여요. 다이어트 앱이라기보다 나를 관리해주는 매니저 같아요. 요즘 제 하루는 루션으로 시작해서 루션으로 끝나요! 감사해요 ~",positive
기록,"매번 다이어트 앱 깔았다가 금방 지웠는데, 루션은 다르네요. 식단 기록이 귀찮지 않고, 미션이 있어서 꾸준히 하게 돼요.",negative
기록,다이어트 식단 기록용으로 사용하고 있는데 쓰기 편하고 좋네요. 사진 찍으면 꽤 정확하게 인식되는 게 신기해요. 구웃,neutral
기록,쉽고 간편하네요! 그리고 식단기록하고 받은 포인트로 컬리에서 교환할 수 있어서 좋아요!,positive
기록,운동 기록하는 기록하기 버튼 터치 안됌 식단 기록할때도 터치 됐다 안됐다 함,neutral
연동,걷기정보가 헬스커넥터와 연동이 안되네요. 앱 설정문제 확인했구요 연동도 체크했는데 걸음수는 체크가 안됩니다 컬리때문에 우선은 깔아놨는데 연동 안되면 점차.안쓸것 같아요,neutral
연동,"없는 음식들이 몇가지 꽤 많지만 나름 칼로리 얼마나 섭취하고 있는지는 대충 알수 있고, 컬리도 자주 이용하는데 추천식단에서 바로 컬리로 이동해서 구매할수 있는게 편한거 같음. 근데 걸음수는 삼성헬스 앱이랑 연동이 안되는거 같은데 어떤걸로 연동해서 걸음수를 채워야 하나요? 답변 감사합니다.",positive
연동,요리하기 귀찮은 사람한텐 딱이네요. 컬리에서 도시락이나 간편식 자주 사먹는데 연동 되어있으니 ㅋㅋㅋㅋㅋ 근데 포인트 모으기가 빡세서 열심히 달려야겠음~ ㅠㅠ,negative
연동,sns 연동 엄청 불편함 네이버랑 자동연동 되지도 않고 로그인저장도 하지않음(왜 저장 체크박스가 있는지 모르겠음),negative
연동,진짜 느리고... 네이버연동 로그인 하려고 해도 계속 회원가입창이 뜨고..현대포인트 로그인 하는데..왜 인증도 안되고 연동 로그인도 안되고. 시간 겁나 잡아먹네요. 물건 구입하는데도 시간 너무 걸림. 그리팅 만족스러워서 재구매하고 싶어도 로그인이 되야하죠. 그리팅 판매실적은 앱 담당자가 다 망치고 있음. 제발 리뷰 좀 보십시요. 대기업이 왜 이러는건지 도통 이해가 안됨. 인내심의 한계를 느낌,positive
연동,"T할인등 연계할인 없으면 절대 쓰지 않을 앱이다. 네이버아이디로 회원가입 했는데, 2단계 인증 안하기를 클릭하고, 로그인유지를 해도 매번 다시 로그인과 2단계 인증을 해야한다. 거기다가 잠시 멀티태스킹하고 오면 또 로그아웃 돼 있음. 이게 미칠노릇. 그럼 처음부터 다시시작.H포인트 쓰려고 연동하기 하면, 네이버로그인은 아예 접근이 안됨. 앱 개발자가 코딩하고 지꺼로 테스트 해봤는지 진짜 궁금하다. 폰별로, 안드로이드 버전별로 테스트좀 해보길. 진짜 어지간하면 앱 평가 안하는데, 할때마다 이 난리라 이걸 한두해째 쓰는데 진짜 참다참다 결국 얘기한다. 앱 개발자를 교체하던지, QC를 강화하던지. 진짜 대기업이 이따위야..중소기업 앱도 금방 문제점 찾고 반영하는데! 개발자 정신차리시오!",negative
연동,T연동가입해서 아이디 확인불가 아이디 확인하려 여러번 시도하다 그냥 삭제합니다 가입 아이디를 일부를 개인정보로 비공개해놨네요 ㅋ 내정보를 본인확인불가함,neutral
연동,제발 sns 연동 로그인좀 개선해주세요 ㅠ 자동로그인도 안되고 캐시도 그때그때 지우는건지 인증 확인 다음에 안하기 체크해도 로그인까지 매번 계속 새로 해야돼요. 그 점이 너무 불편합니다...,negative
연동,앱 리뷰 써 본 적 손가락에 꼽는데 어마어마하게 앱 별로입니다 H.point 계정과 연동하는데 죽어도 안 되고 탈퇴했다 다시 하고 인식도 못하고 도대체 왜 이러는 거예요?,negative
연동,"진짜 열받아. 아이디.,비번찾기 엉망,계속 오류 H포인트랑 아이디 연동도 안되고. 여러가지로 사용이 불편함!!",negative
