작성자,댓글,좋아요수,작성일
@dicxyyang-9584,"에호^^  참 딱하요! """"보스톤,맥킨지,베니컴퍼니,거슨리만 컨설퍼에서 몸 담거나 한 애덜 100%  그냥 사기꾼집단임. 속지 마시요""""  ㅡ 맥킨지,베인&컴퍼니,보스톤,테마섹,가슨리만 등 싹~ 사기꾼 컨설팅업체란 걸 아시요! 그냥 HACCP, ISO등 수많은 인증 대서빵 하는 수준이랑 다른게 없어요...단지 저 컨설팅 뽑을땐...컨설팅영업 위해서...대기업그룹인맥 있는 미국 유학생중 거대기업 3세랑 폰연락 하는 것들 뽑아서...그룹산하본부단별 100억씩 정상회계전표처리케 전그룹컨설팅후 여의도 HACCP인증시키는구조랑 단 0.0001%조차 다르지 않게... 거의 비용발생이 없는 컨설팅 업체가 1)60% 현금으로비자금 회장테 횡령후 돈 바침 2) 사람 짜르는 핑게를 회장은 컨설팅으로 전가 3)회사채 얻을때만 상기컨설팅 으로 서로 짜고치는 조금 사채이자유리 ..따라서 보스톤,맥킨지,베니컴퍼니,거슨리만 컨설펌은 그냥 사기꾼집단임!",0,2025-04-13T16:21:32Z
@윤미라-v4i,스트로폼 박스 너무 많이나와 안 씀..,0,2025-04-13T13:53:50Z
@petetroglodyte1860,"아 정말 좋네 ㅋㅋㅋㅋㅋㅋㅋㅋ 폭망해라 ㅋㅋ
Low interest rate environment 에서 흑자 없이 growth 만 추진하다 funding crisis 생긴거 너무 뻔한 스토리. 퍼블릭 마켓 이었으면 주가 빠졌을텐데 vc 놈들이 mark down 응 안해서 안보이는거뿐",0,2025-04-13T13:47:08Z
@patzzy-w7x,회원 가입했다가 살게 없어서 걍 탈퇴..펫프렌즈처럼 반려품목이 많으면 좋을텐데..뷰티는 안사도 그만이지만 개고양일 굶길순 없으니,0,2025-04-13T13:02:53Z
@jjhh0011,소수 정예로 고가로 갓어야지,0,2025-04-13T11:12:00Z
@이은지-z7p,아니..사실무근이라고 시작하면서 말하는 영상을 어떻게 올리는거지?,0,2025-04-13T08:46:18Z
@ahahah700,컬리가 왜 그런 선택을 했는지 지금도 이해가 안되요. . . 그리고 전지현을 모델로 했던가? 이미지가 오히려 구려졌었요. .,0,2025-04-13T06:11:39Z
@Ksybxlofaakirfbkl,쿠팡 있는데 왠 컬리? 😅,0,2025-04-12T23:21:51Z
@ABBACAA,쿠팡 컬리가 신기술이라고 생각하는거 자체가 머리에 문제가 있는거😂 그리고 새벽배송이 컬리가 독점할수도 없는거😂,0,2025-04-12T19:58:32Z
@reekie-w6x,가격 낮추지 않음 힘들어요. 바나나처럼 일상 주변에서 얼마든지 싸게 살 수 있는 걸 바가지 쓴다는 느낌 받으면 안사죠. 전체적으로 비싸단 느낌이에요. 물론 신경쓰지 않는 이들도 많겠죠. 지나치게 공격적인 쿠팡과 대등해지면 좋겠어요.,11,2025-04-12T19:52:24Z
@sglee-yy8pz,"철학은 무슨요, 어차피 다 사기꾼들. 다 남의 돈으로 사업.",0,2025-04-12T13:34:42Z
@user-ti8sn5oo6i,결국 상품제공자  고혈로 버티고 있다는건데..,0,2025-04-11T13:06:15Z
@하얀바다-w9l,"컬리에 믿음이있는 고객이 많아서
꼭 살아남았으면",3,2025-04-11T09:30:07Z
@FawkesKorea,"혁신 이었으나 신선식품 보장이 😢
안됨 새벽배송 인프라가 한정적 😢",2,2025-04-10T12:14:28Z
@259-p2x,"제목이 컬리의 몰락이라니… 그래놓고 댓글로는 그런. 의도는 아니라니…
컬리가 식품 장보기로 버티기 힘들어 뷰티까지 나오긴했다
여자들이 주로 장을 보니까.",0,2025-04-10T04:30:38Z
@innessjung,컬리가 중국자본이라고 해서 안씀,1,2025-04-08T12:25:49Z
@2233n8t,아니 할인된 제품에 쿠폰을 썼는데도 알고보면 다른 사이트가 더 저렴해요…. 그 뒤로 열받아서 이용 안합니다!!,9,2025-04-08T11:18:26Z
@ppjjww5750,새벽배송 주문시 컬리와 쿠팡에서 똑같이 장바구니 담아놓고 가격 비교해서 주문하는데  결국 컬리로 가게될때가 많은 이유는 '상품구색'을 컬리만큼 갖춰놓은데가없음.간단 장보기는 쿠팡도 괜찮지만 소소한거도 같이 사야할때는 컬리가 훨씬다양함.,1,2025-04-07T00:49:56Z
@ppjjww5750,컬리 응원합니다!!,3,2025-04-07T00:46:23Z
@shokeymall,"컬리에서 만원 쿠폰주길래 딱히 살것도 없어서 화장지 샀는데 추가금 냈는데도 품질이 하..
이제 쿠폰 뿌려도 안삼.
망하는데는 이유가 있는법",1,2025-04-06T19:30:34Z
@부르릉바박,컬리는 걍 농협에 넘겨라,0,2025-04-06T08:00:59Z
@소망y3n,마켓컬리는 중국자본이 들어갔다고 하는데 확인이 필요할 거같습니다.  만약 중국 자본이  많이 들어갔다면  저는 마켓컬리를 경계해야 된다고 생각합니다,6,2025-04-06T03:57:10Z
@Bitmann11,해외 도피?? ㄷㄷ,0,2025-04-05T01:56:06Z
@박박콰-s7e,컬리은 그냥 쿠팡의 부분 하위호환 그것조차 안되는 회사다.,0,2025-04-05T01:23:01Z
@raylim-r3f,한녀라서 망했지,0,2025-04-04T10:25:23Z
@selfcodi,소리 듣기 싫어요,0,2025-04-03T07:18:36Z
@이레m7e,"이제는 쿠팡에서도 다 구입할수 있고
컬리에서 할인 가격이 쿠팡에서는 정상가로 판매하는데
누가 컬리에서 구입하냐
가격이 비싸도 제품만 좋음
시골 사는 나도 구입할건데",3,2025-04-03T01:59:38Z
@joonhan1541,귀찮게 무슨 쿠폰을 남발하냐?,0,2025-04-02T04:32:23Z
@archurban,왜 그렇게 잘났는데 지금 그모양이니? 인간이 아무리 똑똑해도 아무 소용이 없다. 지들이 똑똑하다고 떠들지만 전혀 아니다.,0,2025-04-01T08:13:56Z
@최종태-s5x,믿을 만한 식품을 보내주는지 알았는데 저질 말린대추 받아보고 관리가 안되는구나 생각하고 그 이후로 손절했슴😢,0,2025-04-01T07:16:48Z
@박기태-t8i,컬리 미국에다.상장 실패하면서 쿠팡과의 경쟁에서 완패,0,2025-04-01T06:30:51Z
@하이방가-i2y,말안듣고 대충하고 항상 말썽 잃으키는것들은 컬리야 정말짜증나,0,2025-04-01T01:05:17Z
@newyorkqnz-xm4vy,정치학.. 정치학 하던애가 기업을..ㅋㅋㅋ 코믹하다 코믹해,0,2025-03-31T06:08:22Z
@헨리-j9p,여기 누구한테 또 투자받았나요? 자본이 1~2천억밖에 없는데 뭘로 유지하는 거.,0,2025-03-29T10:37:44Z
@Iaan0928,"문제점
쿠팡대비 물건이 적다
검색하면 물건 찾기 어렵고 자꾸 화장품이 뜬다
가끔 오는 할인 쿠폰이 오히려 독이 되었다.
쿠팡의 쿠팡플레이 이츠 연계에 경쟁력 딸림
전지현 광고가 안 보임",0,2025-03-25T04:41:07Z
@Jelody-mj1ng,"컬리에서만 장보는 사람으로서 컬리에만 있는 품목들, 신선식품 포장 상태나 1인 가구에 적당하게 소분된 다양한 팩 식품들, 월 1,900원만 내면 무료 배송 등 저는 너무 애용하고 있어서 앞으로 더 성장하고 흥하길 바람!",0,2025-03-24T14:05:06Z
@Lililiya8,나 컬리 좋은데 ㅠㅠㅠㅠㅜㅜ 신기한거 많아서 …다시 잘 됐으면 …….,6,2025-03-24T12:32:49Z
@편안한의자-l9t,이런 기업분석 영상 너무 재밌어요!!,1,2025-03-24T09:15:50Z
@아무개-k3o,저정도면 중간에 엑시트를 충분히 할수있었을텐데 왜 안했을까?,0,2025-03-23T14:14:59Z
@1000djrd,컬리 우리아이가 어릴때 한줄기 빛이었음..그때는 쿠팡프레쉬가 없어서 진짜 사랑이었음,0,2025-03-23T10:00:02Z
@foodiefooding,반품 환불 안되는게 치명적인문제점임.  이번에 쿠팡으로 갈아탐,0,2025-03-23T08:06:27Z
@bonheurdnjfem,내가  그냥  전화통화 하면서 누군가에세  씨부린   새벽 배송 아이디어가  그렇게  대단한   혁신인가?  ㅋㅋㅋㅋㅋ   웃참,0,2025-03-23T07:58:02Z
@문명5수학,"컬리는 힘들다! 쿠팡도 배달차 기름값도 못 결재 하다가 겨우 나스닥 상장으로 목숨 건졌다!! 그외 기업은 계속적인 추가 투자를 받아야 하는데, 그게 쉽지 않음!! 손정의 같은 구세주가 과연 있을까??",0,2025-03-23T00:01:52Z
@정최강김이신외국6-e1o,납품업체들이 불쌍해,0,2025-03-22T14:07:36Z
@김승수-z9i,"컬리 과포장 보면 욕 나온다.
해도 해도 너무한 과포장
굳이 비용 들여 과대포장하는 이유가 뭔지...
쓰레기만 쌓이고 환경문제는  또 어떻하고",0,2025-03-21T22:52:12Z
@phonyeu,"본업에 아무 연관없는 고비용 연예인 광고하는 기업은 언제나 투자 거르고 관망한다.
내 생각처럼 망하는지.

여담이지만, 은행업은 어떻게든 예대마진 극대화 하는지 잘 먹더라. 대출 이자 안 낮추고 대출자들 고혈 빨아먹으며.
그래서 은행은 투자를 안한다.
내가 하고말지.",0,2025-03-21T17:21:10Z
@랑선생언니,컬리 좋아요 ❤ 응원합니다,0,2025-03-20T13:49:24Z
@yonasoh2921,ㅈ됬스까,0,2025-03-19T22:40:58Z
@파인쿨-x1w,"저기 물건들 종류봐라
쟤들 전략저으로 어짜피 어느정도 성장시키고 매도할생각이었음",0,2025-03-19T00:33:08Z
@마늘파종식이-q9c,쿠팡한테 될수가 없잖아 ㅜㅜ,0,2025-03-18T03:13:58Z
@mozzimozzi8550,그냥 비싸고 살만한게 한정적임,0,2025-03-17T07:09:25Z
@nukacolaa,"마켓 컬리 주 고객층은 허영심이 많은 20~30대 여자들임. 남자들은 가성비가 떨어져서 컬리를 이용하지 않고, 주부들도 똑같은 이유로 이용하지 않음. 결국 남은 고객층은 ""나는 유기농 신선한 채소를 챙겨먹는 도시 여자야~"" 라는 이미지를 즐기는 여자들 밖에 안남음. 이런 상황에 흑자로 전환하려면 대중성을 노릴게 아니라, 오히려 더 고품질, 고가의 제품으로 허영심을 채워주는 전략을 썼어야됨.",0,2025-03-16T04:58:33Z
@물총새-l4k,"뭐 딱히 한마디로
영원한건 없음ㆍ",0,2025-03-15T06:05:42Z
@lsw0400,돈끌어다쓰는 회사들은...도박,0,2025-03-12T23:34:03Z
@오훈-h7u,"배송비만 좀 없애주세요.
1만원 이상 무료배송이면 두배는 더 사먹을 것 같아요.
그리고 특이한 것 많이 팔아주시고요.",0,2025-03-10T04:16:29Z
@Rich-eb2cy,"컬리  단한번도 사본적없음 
2~3일후에 도착해서 먹으면되지
굳이 왜 새벽배송이 필요한지 이해불가
새벽배송이라는  이유로 그만큼 비싸고  컬리때문에 동네상권들만  피보는  경제적악순환!!!!!!!",0,2025-03-07T21:21:17Z
@슈퍼루스퍼,기업이 철학이 없어지면 날라가는 케이스.,0,2025-02-28T08:38:18Z
