작성자,댓글,좋아요수,작성일
@김유튭-s6q,다리떠는거 보는재미 꿀이에여😂❤❤❤❤❤ㅋㅋㅋㅋㅋ,1,2025-05-19T06:00:21Z
@김유튭-s6q,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다리떠는거 나올때까지 기다리는재미 🙈🤍🤍🤍🤍🤍🤍🤍,1,2025-05-19T05:59:49Z
@시경-i6e,걍 너무 좋아~😊❤,2,2025-05-17T03:36:24Z
@phrygiha,아니 도시락 가방 봉다리ㅋㅋㅋㅋㅋㄱㅋㅋ,1,2025-05-15T17:47:13Z
@하하-g6p1v,ㅎㅎㅎㅎㅎㅎㅎ시원시원하고 귀여우심ㅎㅎ,1,2025-05-11T14:23:15Z
@싼타버거,진작 이런분을 만났음.. 얼마나 좋아.  행복하시길.. 다음생애에 꼭! 뵈요,0,2025-05-11T09:27:48Z
@momentflights,다리떨기 엔딩 너무 중독적이에요. 😂,1,2025-05-10T14:44:41Z
@daroonk5549,진짜 귀찮으면 그냥 볶은 스팸+스크램블 에그 밥에 때려넣고 마요네즈+돈까스소스+김가루 뿌려 주먹밥하시면 진짜 짱맛있고 편해용,1,2025-05-08T12:43:55Z
@레인보우브릿지23,냉동실 작은듯한데도 식재료 많네,0,2025-05-06T04:18:10Z
@헬레니즘,"저 두덩이로 되나 한 4개는 먹어야
할 듯",1,2025-05-05T15:37:43Z
@송정은-j4k,아~바빠돌아가시겠지만...넣을건 넣어야지😂,1,2025-05-05T06:21:35Z
@lucidyen2816,간장은 어떤간장 넣어야하나요? 진간장?,1,2025-05-05T04:30:53Z
@ggaaadssda,말투가 킹 받아서 좋음 ㅋㅋㅋ❤,3,2025-05-05T00:40:57Z
@이냥-z7b,난 스팸은 얇게 바싹 하는게 존맛인데,1,2025-05-04T16:07:24Z
@향희의일상,"넘웃겨여 봉지째 들고나가는거
간단하고 맛있겠네여ㅎㅎ❤",1,2025-05-04T06:46:19Z
@권전복-r4t,"뭐하시는 분이신지?
집밥을 너무 잘해드시네요
더더구나 외국에서 말입니다.
너무 대단하십니다. 고수 인정",1,2025-05-03T15:23:59Z
@jongseoksong3325,"볼때마다 느끼는건데 
목소리 말투가 영상이랑 너무 잘 어울려요 
좋아요 ㅎㅎ😊",1,2025-05-02T22:37:00Z
@ggjjacd,저걸로 배가차다니,1,2025-05-02T16:03:43Z
@이브애플,갑자기 이 레시피기 떠올라서 대충 후리카게랑 김 생략하고 만들었는데도 너무 맛있어요..진짜 딱 아는맛 그자체.. 김치랑 먹으니 간도 딱 맞아요 진짜..,0,2025-05-02T14:49:15Z
@붕어빵-n3t,나 이거 군대서 먹어본거 같은데;;;,0,2025-05-02T13:23:18Z
@황금나무-u4m,이분너무 사랑스러워요~~,0,2025-05-02T08:52:20Z
@happysong7,다리떠는거  왜케 귀엽죠,1,2025-05-01T21:28:49Z
@쭌빠-f9s,웃으면 더 좋을듯,0,2025-05-01T12:38:30Z
@워니-n3w,"계란은 어디에다 그렇게 던지실까?ㅎㅎㅎ
넘 잼나요~~~
오늘도 통쾌 유쾌",0,2025-04-30T06:03:21Z
@gdahn4341,진짜 효율적으로뚝딱요리하시네요><,0,2025-04-30T03:00:24Z
@2haslam,옷 넘 이쁨!,0,2025-04-30T00:37:22Z
@Walkawayworkandworkout,양말이랑 로퍼 센스 대박이다,0,2025-04-29T15:28:07Z
@vmflaldjayoutube7242,스팸은 소분하지만 도시락 통 따위는 없이 봉다리에 싸가는 갭차이...❤,1,2025-04-29T07:54:02Z
@조한기-h3b,목소리모야,0,2025-04-29T07:49:34Z
@herenowmom8794,ㅋㅋㅋ 그냥 재밌엉,0,2025-04-28T13:42:48Z
@randomuser1673,해외에서 도시락 싸다니는 직장인이라 도시락 시리즈 넘 좋아요 자주해주세요😭❤️,2,2025-04-27T16:37:10Z
@나난-u4w,ㅋㅋㅋ 😂,0,2025-04-27T13:53:57Z
@체체리-s6w,아진짜 너무 좋아요 진짜 유튭에 가짜도시락 많은데 이게 진짜아닙니까!?!?!❤❤,0,2025-04-26T18:01:28Z
@SSK-r6o,건강에는. 너무 안좋겟습니다 ㅠㅠㅠ,0,2025-04-24T02:30:11Z
@머-w9u,인이브,0,2025-04-23T08:53:34Z
@머-w9u,아이브,0,2025-04-23T08:52:55Z
@mooiiiz5606,인간적이어서 좋습니다  감사합니다,0,2025-04-22T14:43:17Z
@이회준-w4e,"아~이분 중독성ㅠㅠ
나도 모르게 같이 다리 떨고있어어요ㅠㅠ",0,2025-04-22T14:36:49Z
@HJ-mw5cc,완벽한  요리채널보다 백백 공감 백배  목소리 나른하면서 세상귀찮은 목소리 느무 좋아...   귀찮은 나  구독버튼 못 누름😅,0,2025-04-22T07:12:29Z
@haulhaul1616,비닐봉다리 런치백 취향저격!!!!,0,2025-04-22T04:05:49Z
@NICE_1212,존나짜겠다..스팸에 소금을,0,2025-04-21T17:39:29Z
